year,age,mechanism,deaths,population,rate
2013,55-64 years,Fire/Flame,44,39316431,0.1
2013,55-64 years,Firearm,3809,39316431,9.7
2013,55-64 years,Poisoning,1528,39316431,3.9
2013,55-64 years,Suffocation,1182,39316431,3
2013,65-74 years,Cut/Pierce,74,25216766,0.3
2013,65-74 years,Drowning,35,25216766,0.1
2013,65-74 years,Fall,64,25216766,0.3
2013,65-74 years,Fire/Flame,13,25216766,Unreliable
2013,65-74 years,Firearm,2556,25216766,10.1
2013,65-74 years,Poisoning,562,25216766,2.2
2013,65-74 years,Suffocation,437,25216766,1.7
2013,75-84 years,Cut/Pierce,42,13446519,0.3
2013,75-84 years,Drowning,25,13446519,0.2
2013,75-84 years,Fall,29,13446519,0.2
2013,75-84 years,Fire/Flame,3,13446519,Unreliable
2013,75-84 years,Firearm,1759,13446519,13.1
2013,75-84 years,Poisoning,216,13446519,1.6
2013,75-84 years,Suffocation,206,13446519,1.5
2013,85+ years,Cut/Pierce,20,6040789,0.3
2013,85+ years,Drowning,12,6040789,Unreliable
2013,85+ years,Fall,29,6040789,0.5
2013,85+ years,Fire/Flame,1,6040789,Unreliable
2013,85+ years,Firearm,798,6040789,13.2
2013,85+ years,Poisoning,127,6040789,2.1
2013,85+ years,Suffocation,127,6040789,2.1
2014,5-14 years,Fall,2,41191072,Unreliable
2014,5-14 years,Firearm,174,41191072,0.4
2014,5-14 years,Poisoning,18,41191072,Unreliable
2014,5-14 years,Suffocation,228,41191072,0.6
2014,15-24 years,Cut/Pierce,32,43979821,0.1
2014,15-24 years,Drowning,41,43979821,0.1
2014,15-24 years,Fall,168,43979821,0.4
2014,15-24 years,Fire/Flame,18,43979821,Unreliable
2014,15-24 years,Firearm,2270,43979821,5.2
2014,15-24 years,Poisoning,363,43979821,0.8
2014,15-24 years,Suffocation,2010,43979821,4.6
2014,25-34 years,Cut/Pierce,93,43516504,0.2
2014,25-34 years,Drowning,59,43516504,0.1
2014,25-34 years,Fall,193,43516504,0.4
2014,25-34 years,Fire/Flame,15,43516504,Unreliable
2014,25-34 years,Firearm,2829,43516504,6.5
2014,25-34 years,Poisoning,800,43516504,1.8
2014,25-34 years,Suffocation,2402,43516504,5.5
2014,35-44 years,Cut/Pierce,134,40513133,0.3
2014,35-44 years,Drowning,62,40513133,0.2
2014,35-44 years,Fall,152,40513133,0.4
2014,35-44 years,Fire/Flame,31,40513133,0.1
2014,35-44 years,Firearm,2830,40513133,7
2014,35-44 years,Poisoning,1274,40513133,3.1
2014,35-44 years,Suffocation,2057,40513133,5.1
2014,45-54 years,Cut/Pierce,175,43458851,0.4
2014,45-54 years,Drowning,85,43458851,0.2
2014,45-54 years,Fall,197,43458851,0.5
2014,45-54 years,Fire/Flame,44,43458851,0.1
2014,45-54 years,Firearm,3953,43458851,9.1
2014,45-54 years,Poisoning,1795,43458851,4.1
2014,45-54 years,Suffocation,2321,43458851,5.3
2014,55-64 years,Cut/Pierce,178,40077581,0.4
2014,55-64 years,Drowning,70,40077581,0.2
2014,55-64 years,Fall,156,40077581,0.4
2014,55-64 years,Fire/Flame,41,40077581,0.1
2014,55-64 years,Firearm,3910,40077581,9.8
2014,55-64 years,Poisoning,1529,40077581,3.8
2014,55-64 years,Struck by or against,1,40077581,Unreliable
2014,55-64 years,Suffocation,1509,40077581,3.8
2014,65-74 years,Cut/Pierce,67,26398290,0.3
2014,65-74 years,Drowning,24,26398290,0.1
2014,65-74 years,Fall,65,26398290,0.2
2014,65-74 years,Fire/Flame,20,26398290,0.1
2014,65-74 years,Firearm,2711,26398290,10.3
2014,65-74 years,Poisoning,639,26398290,2.4
2014,65-74 years,Suffocation,536,26398290,2
2014,75-84 years,Cut/Pierce,38,13682690,0.3
2014,75-84 years,Drowning,20,13682690,0.1
2014,75-84 years,Fall,32,13682690,0.2
2014,75-84 years,Fire/Flame,10,13682690,Unreliable
2014,75-84 years,Firearm,1776,13682690,13
2014,75-84 years,Poisoning,272,13682690,2
2014,75-84 years,Suffocation,223,13682690,1.6
2014,85+ years,Cut/Pierce,22,6162231,0.4
2014,85+ years,Drowning,10,6162231,Unreliable
2014,85+ years,Fall,29,6162231,0.5
2014,85+ years,Fire/Flame,1,6162231,Unreliable
2014,85+ years,Firearm,880,6162231,14.3
2014,85+ years,Poisoning,117,6162231,1.9
2014,85+ years,Suffocation,121,6162231,2
2015,5-14 years,Cut/Pierce,1,41109506,Unreliable
2015,5-14 years,Drowning,4,41109506,Unreliable
2015,5-14 years,Fall,3,41109506,Unreliable
2015,5-14 years,Firearm,140,41109506,0.3
2015,5-14 years,Poisoning,23,41109506,0.1
2015,5-14 years,Suffocation,237,41109506,0.6
2015,15-24 years,Cut/Pierce,28,43848216,0.1
2015,15-24 years,Drowning,75,43848216,0.2
2015,15-24 years,Fall,179,43848216,0.4
2015,15-24 years,Fire/Flame,19,43848216,Unreliable
2015,15-24 years,Firearm,2461,43848216,5.6
2015,15-24 years,Poisoning,409,43848216,0.9
2015,15-24 years,Suffocation,2119,43848216,4.8
2015,25-34 years,Cut/Pierce,71,44137202,0.2
2015,25-34 years,Drowning,62,44137202,0.1
2015,25-34 years,Fall,166,44137202,0.4
2015,25-34 years,Fire/Flame,23,44137202,0.1
2015,25-34 years,Hot object/Substance,1,44137202,Unreliable
2015,25-34 years,Firearm,3118,44137202,7.1
2015,25-34 years,Poisoning,769,44137202,1.7
2015,25-34 years,Struck by or against,1,44137202,Unreliable
2015,25-34 years,Suffocation,2504,44137202,5.7
2015,35-44 years,Cut/Pierce,129,40589783,0.3
2015,35-44 years,Drowning,66,40589783,0.2
2015,35-44 years,Fall,174,40589783,0.4
2015,35-44 years,Fire/Flame,29,40589783,0.1
2015,35-44 years,Firearm,2952,40589783,7.3
2015,35-44 years,Poisoning,1181,40589783,2.9
2015,35-44 years,Suffocation,2219,40589783,5.5
2015,45-54 years,Cut/Pierce,184,43188161,0.4
2015,45-54 years,Drowning,101,43188161,0.2
2015,45-54 years,Fall,187,43188161,0.4
2015,45-54 years,Fire/Flame,49,43188161,0.1
2015,45-54 years,Firearm,3882,43188161,9
2015,45-54 years,Poisoning,1835,43188161,4.2
2015,45-54 years,Suffocation,2333,43188161,5.4
2015,55-64 years,Cut/Pierce,208,40877819,0.5
2015,55-64 years,Drowning,109,40877819,0.3
2015,55-64 years,Fall,154,40877819,0.4
2015,55-64 years,Fire/Flame,41,40877819,0.1
2015,55-64 years,Firearm,3951,40877819,9.7
2015,55-64 years,Poisoning,1593,40877819,3.9
2015,55-64 years,Struck by or against,1,40877819,Unreliable
2015,55-64 years,Suffocation,1535,40877819,3.8
2015,65-74 years,Cut/Pierce,78,27550517,0.3
2015,65-74 years,Drowning,50,27550517,0.2
2015,65-74 years,Fall,80,27550517,0.3
2015,65-74 years,Fire/Flame,16,27550517,Unreliable
2015,65-74 years,Firearm,2779,27550517,10.1
2015,65-74 years,Poisoning,603,27550517,2.2
2015,65-74 years,Suffocation,541,27550517,2
2015,75-84 years,Cut/Pierce,39,13923174,0.3
2015,75-84 years,Drowning,21,13923174,0.2
2015,75-84 years,Fall,46,13923174,0.3
2015,75-84 years,Fire/Flame,6,13923174,Unreliable
2015,75-84 years,Firearm,1872,13923174,13.4
2015,75-84 years,Poisoning,250,13923174,1.8
2015,75-84 years,Suffocation,232,13923174,1.7
2015,85+ years,Cut/Pierce,25,6287161,0.4
2015,85+ years,Drowning,21,6287161,0.3
2015,85+ years,Fall,19,6287161,Unreliable
2015,85+ years,Firearm,860,6287161,13.7
2015,85+ years,Poisoning,152,6287161,2.4
2015,85+ years,Suffocation,135,6287161,2.1
